timestamp,open,high,low,close,volume,buy_vol,sell_vol,delta,cvd,trades
1781695800000,602.9,603.0,602.7,602.8,1829.0,5.0,1824.0,-1819.0,-21252.0,18
1781695800000,602.9,603.0,602.7,602.8,1829.0,5.0,1824.0,-1819.0,-21289.0,18
1781695860000,602.7,603.2,602.7,603.1,2325.0,2159.0,166.0,1993.0,-19296.0,23
1781695860000,602.7,603.2,602.7,603.1,2325.0,2159.0,166.0,1993.0,-19259.0,23
1781695920000,603.1,603.4,603.1,603.4,610.0,381.0,229.0,152.0,-19144.0,22
1781695920000,603.1,603.4,603.1,603.4,610.0,381.0,229.0,152.0,-19107.0,22
1781695980000,603.3,603.5,603.3,603.4,4807.0,2122.0,2685.0,-563.0,-19670.0,45
1781695980000,603.3,603.5,603.3,603.4,4807.0,2122.0,2685.0,-563.0,-19707.0,45
1781696040000,603.4,603.4,602.9,603.1,5292.0,3568.0,1724.0,1844.0,-17826.0,31
1781696040000,603.4,603.4,602.9,603.1,5292.0,3568.0,1724.0,1844.0,-17863.0,31
1781696100000,603.2,603.2,602.8,602.9,17571.0,180.0,17391.0,-17211.0,-35037.0,23
1781696100000,603.2,603.2,602.8,602.9,17571.0,180.0,17391.0,-17211.0,-35074.0,23
1781696160000,602.9,603.1,602.9,603.1,339.0,316.0,23.0,293.0,-34781.0,15
1781696160000,602.9,603.1,602.9,603.1,339.0,316.0,23.0,293.0,-34744.0,15
1781696220000,603.0,603.4,603.0,603.4,598.0,480.0,118.0,362.0,-34382.0,13
1781696220000,603.0,603.4,603.0,603.4,598.0,480.0,118.0,362.0,-34419.0,13
1781696280000,603.3,603.5,603.2,603.4,2760.0,247.0,2513.0,-2266.0,-36648.0,18
1781696280000,603.3,603.5,603.2,603.4,2760.0,247.0,2513.0,-2266.0,-36685.0,18
1781696340000,603.4,603.4,603.0,603.3,1452.0,452.0,1000.0,-548.0,-37233.0,22
1781696340000,603.4,603.4,603.0,603.3,1452.0,452.0,1000.0,-548.0,-37196.0,22
1781696400000,603.3,603.7,603.3,603.7,2147.0,1865.0,282.0,1583.0,-35613.0,27
1781696400000,603.3,603.7,603.3,603.7,2147.0,1865.0,282.0,1583.0,-35650.0,27
1781696460000,603.6,603.6,603.3,603.6,33446.0,7638.0,25808.0,-18170.0,-53783.0,21
1781696520000,603.6,603.7,603.5,603.6,9080.0,8489.0,591.0,7898.0,-45885.0,30
1781696520000,603.6,603.7,603.5,603.6,9080.0,8489.0,591.0,7898.0,-45181.0,30
1781696580000,603.5,603.6,603.2,603.5,3444.0,238.0,3206.0,-2968.0,-48149.0,21
1781696580000,603.5,603.6,603.2,603.5,3444.0,238.0,3206.0,-2968.0,-48853.0,21
1781696640000,603.4,603.5,603.3,603.4,3242.0,1039.0,2203.0,-1164.0,-49313.0,13
1781696640000,603.4,603.5,603.3,603.4,3242.0,1039.0,2203.0,-1164.0,-50017.0,13
1781696700000,603.3,603.6,603.3,603.6,9804.0,5999.0,3805.0,2194.0,-47823.0,41
1781696700000,603.3,603.6,603.3,603.6,9804.0,5999.0,3805.0,2194.0,-47119.0,41
1781696760000,603.5,603.6,603.5,603.6,1991.0,1940.0,51.0,1889.0,-45230.0,10
1781696760000,603.5,603.6,603.5,603.6,1991.0,1940.0,51.0,1889.0,-45934.0,10
1781696820000,603.6,604.1,603.6,604.1,6128.0,5866.0,262.0,5604.0,-40330.0,30
1781696820000,603.6,604.1,603.6,604.1,6128.0,5866.0,262.0,5604.0,-39626.0,30
1781696880000,604.0,604.0,603.6,603.7,13157.0,7813.0,5344.0,2469.0,-37861.0,22
1781696880000,604.0,604.0,603.6,603.7,13157.0,7813.0,5344.0,2469.0,-37157.0,22
1781696940000,603.7,603.9,603.5,603.9,23304.0,11472.0,11832.0,-360.0,-37517.0,35
1781696940000,603.7,603.9,603.5,603.9,23304.0,11472.0,11832.0,-360.0,-38221.0,35
1781697000000,603.9,604.0,603.8,604.0,1269.0,919.0,350.0,569.0,-36948.0,38
1781697000000,603.9,604.0,603.8,604.0,1269.0,919.0,350.0,569.0,-37652.0,38
1781697060000,603.9,604.0,603.9,604.0,105.0,90.0,15.0,75.0,-37577.0,17
1781697060000,603.9,604.0,603.9,604.0,79.0,65.0,14.0,51.0,-36897.0,9
1781697120000,604.0,604.2,603.9,604.2,9356.0,4920.0,4436.0,484.0,-37093.0,24
1781697120000,603.9,604.2,603.9,604.2,9339.0,4917.0,4422.0,495.0,-36402.0,21
1781697180000,604.1,604.2,604.1,604.2,3097.0,1853.0,1244.0,609.0,-35793.0,19
1781697180000,604.1,604.2,604.1,604.2,3097.0,1853.0,1244.0,609.0,-36484.0,19
1781697240000,604.2,604.2,604.1,604.1,462.0,89.0,373.0,-284.0,-36077.0,9
1781697240000,604.2,604.2,604.1,604.1,462.0,89.0,373.0,-284.0,-36768.0,9
1781697300000,604.1,604.4,604.1,604.4,1020.0,569.0,451.0,118.0,-35959.0,16
1781697300000,604.1,604.4,604.1,604.4,1020.0,569.0,451.0,118.0,-36650.0,16
1781697360000,604.3,604.4,604.2,604.2,2438.0,80.0,2358.0,-2278.0,-38928.0,11
1781697360000,604.3,604.4,604.2,604.2,2438.0,80.0,2358.0,-2278.0,-38237.0,11
1781697420000,604.1,604.2,603.8,603.8,16761.0,201.0,16560.0,-16359.0,-55287.0,13
1781697420000,604.1,604.2,603.8,603.8,16761.0,201.0,16560.0,-16359.0,-54596.0,13
1781697480000,603.8,604.0,603.8,604.0,7279.0,1055.0,6224.0,-5169.0,-60456.0,16
1781697480000,603.8,604.0,603.8,604.0,7279.0,1055.0,6224.0,-5169.0,-59765.0,16
1781697540000,604.0,604.0,603.5,603.6,13611.0,8660.0,4951.0,3709.0,-56747.0,12
1781697540000,604.0,604.0,603.5,603.6,13611.0,8660.0,4951.0,3709.0,-56056.0,12
1781697600000,603.6,603.8,603.2,603.8,13065.0,4572.0,8493.0,-3921.0,-59977.0,62
1781697600000,603.6,603.8,603.2,603.8,13065.0,4572.0,8493.0,-3921.0,-60668.0,62
1781697660000,603.9,604.2,603.9,604.1,1701.0,978.0,723.0,255.0,-59722.0,29
1781697660000,603.9,604.2,603.9,604.1,1701.0,978.0,723.0,255.0,-60413.0,29
